id,type_transaction,type_bien,prix,superficie,chambres,salles_bain,ville,quartier,annee_construction,type_courtier,date_publi,terrain_pi2,etages,garage,etage_unite,frais_condo,ascenseur,description
P0023,LOCATION,MAISON,6330,2725,4,1.5,Montreal,Rosemont - Rue Ontario,2024,COURTIER,2026-08-30,8150,2,true,,,,Maison de plain-pied pres des ecoles et des parcs
P0024,LOCATION,CONDO,810,518,2,1.5,Sherbrooke,Fleurimont - Rue Wellington,2025,COURTIER,2026-05-28,,,,11,0,true,Condo lumineux a distance de marche du metro
P0025,LOCATION,CONDO,2290,1243,3,1.5,Laval,Vimont - Avenue des Perron,1974,PROPRIETAIRE_DIRECT,2026-08-03,,,,6,0,false,Appartement au coeur du quartier avec transport a proximite
P0026,VENTE,CONDO,283000,672,2,2.0,Longueuil,Vieux-Longueuil - Chemin de Chambly,1994,PROPRIETAIRE_DIRECT,2026-05-10,,,,12,270,true,Unite bien entretenue dans un immeuble recent
P0027,VENTE,MAISON,722000,1665,3,1.0,Longueuil,Greenfield Park - Boulevard Taschereau,1988,COURTIER,2026-05-16,7078,2,false,,,,Maison familiale avec cour arriere amenagee
P0028,LOCATION,CONDO,1450,1000,1,1.0,Laval,Vimont - Avenue des Perron,1975,COURTIER,2026-07-14,,,,10,0,true,Logement pratique et ideal pour un premier achat
P0029,VENTE,MAISON,1060000,1648,4,1.5,Montreal,Le Plateau - Rue Ontario,2000,COURTIER,2026-06-13,4604,3,true,,,,Propriete lumineuse avec grande salle de sejour
P0030,VENTE,MAISON,688000,1771,3,1.0,Longueuil,Greenfield Park - Boulevard Taschereau,1973,PROPRIETAIRE_DIRECT,2026-05-12,3531,2,false,,,,Maison de plain-pied pres des ecoles et des parcs
P0031,LOCATION,MAISON,2680,1535,4,2.5,Montreal,Villeray - Rue Sainte-Catherine,1971,COURTIER,2026-05-17,4269,1,false,,,,Maison spacieuse dans un secteur tranquille
P0032,VENTE,CONDO,701000,1328,2,2.0,Laval,Sainte-Rose - Boulevard Saint-Martin,1986,PROPRIETAIRE_DIRECT,2026-07-19,,,,13,563,false,Condo lumineux a distance de marche du metro
P0033,VENTE,CONDO,713000,998,2,1.5,Montreal,Villeray - Boulevard Saint-Laurent,2010,COURTIER,2026-06-01,,,,4,501,true,Unite renovee avec balcon et rangement
P0034,LOCATION,CONDO,1210,899,3,1.0,Quebec,Limoilou - Boulevard Charest,1999,COURTIER,2026-05-29,,,,6,0,false,Condo lumineux a distance de marche du metro
P0035,VENTE,MAISON,794000,2059,4,1.5,Quebec,Sainte-Foy - Avenue Cartier,1989,COURTIER,2026-08-17,5202,2,true,,,,Belle residence avec foyer au bois et veranda
P0036,VENTE,MAISON,1178000,3126,5,3.0,Laval,Vimont - Boulevard Saint-Martin,1967,PROPRIETAIRE_DIRECT,2026-07-18,5334,1,false,,,,Belle residence avec foyer au bois et veranda
P0037,VENTE,MAISON,1272000,3049,4,2.0,Laval,Chomedey - Boulevard Saint-Martin,2008,COURTIER,2026-05-28,5886,1,true,,,,Maison de plain-pied pres des ecoles et des parcs
P0038,LOCATION,CONDO,1010,560,2,1.0,Quebec,Sainte-Foy - Rue Saint-Jean,2002,PROPRIETAIRE_DIRECT,2026-08-13,,,,10,0,true,Unite renovee avec balcon et rangement
P0039,VENTE,MAISON,769000,1645,3,1.0,Longueuil,Vieux-Longueuil - Rue Saint-Charles,2021,COURTIER,2026-07-10,4092,2,false,,,,Maison spacieuse dans un secteur tranquille
P0040,VENTE,MAISON,1596000,2439,4,1.0,Montreal,Le Plateau - Boulevard Saint-Laurent,2017,PROPRIETAIRE_DIRECT,2026-08-15,7365,2,true,,,,Maison de plain-pied pres des ecoles et des parcs
P0041,LOCATION,CONDO,1710,703,1,2.0,Montreal,Villeray - Avenue Mont-Royal,1993,COURTIER,2026-06-01,,,,9,0,false,Logement pratique et ideal pour un premier achat
P0042,LOCATION,CONDO,1540,1090,2,2.0,Sherbrooke,Rock Forest - Rue King,2021,COURTIER,2026-07-20,,,,14,0,true,Unite bien entretenue dans un immeuble recent
P0043,LOCATION,CONDO,1970,1013,3,1.0,Quebec,Saint-Roch - Boulevard Charest,2022,COURTIER,2026-08-05,,,,9,0,true,Condo moderne avec aire ouverte et grandes fenetres
P0044,VENTE,CONDO,382000,619,2,1.5,Laval,Chomedey - Rue Principale,2017,COURTIER,2026-07-13,,,,3,298,true,Logement pratique et ideal pour un premier achat
P0045,VENTE,CONDO,252000,767,2,1.0,Quebec,Sainte-Foy - Rue Saint-Jean,1959,COURTIER,2026-06-24,,,,12,240,true,Unite renovee avec balcon et rangement
P0046,LOCATION,MAISON,2460,1218,4,1.5,Longueuil,Greenfield Park - Rue Saint-Charles,2024,COURTIER,2026-05-11,4384,1,false,,,,Belle residence avec foyer au bois et veranda
P0047,VENTE,CONDO,308000,576,2,1.5,Montreal,Ville-Marie - Rue Ontario,1962,COURTIER,2026-08-29,,,,7,268,true,Condo lumineux a distance de marche du metro
P0048,VENTE,MAISON,869000,1971,4,1.5,Quebec,Montcalm - Boulevard Charest,2018,COURTIER,2026-05-13,6358,1,false,,,,Maison de plain-pied pres des ecoles et des parcs
P0049,LOCATION,MAISON,2630,1475,3,1.5,Longueuil,Saint-Hubert - Boulevard Taschereau,2016,COURTIER,2026-08-22,3622,1,true,,,,Belle residence avec foyer au bois et veranda
P0050,LOCATION,MAISON,2950,1224,5,1.5,Montreal,Villeray - Avenue du Parc,2009,COURTIER,2026-05-08,4355,1,false,,,,Maison de plain-pied pres des ecoles et des parcs
P0051,LOCATION,CONDO,1310,621,1,1.0,Laval,Duvernay - Boulevard des Laurentides,2017,COURTIER,2026-07-18,,,,1,0,false,Unite bien entretenue dans un immeuble recent
P0052,VENTE,CONDO,333000,834,1,1.5,Quebec,Saint-Roch - Rue Sainte-Catherine,2014,COURTIER,2026-08-22,,,,10,273,false,Condo moderne avec aire ouverte et grandes fenetres
P0053,VENTE,CONDO,276000,617,1,1.0,Longueuil,Greenfield Park - Chemin de Chambly,1995,COURTIER,2026-08-11,,,,12,335,true,Condo lumineux a distance de marche du metro
P0054,VENTE,CONDO,315000,794,3,1.0,Longueuil,Saint-Hubert - Boulevard Taschereau,1974,COURTIER,2026-05-10,,,,9,409,false,Unite renovee avec balcon et rangement
P0055,VENTE,CONDO,347000,673,1,2.0,Laval,Sainte-Rose - Boulevard des Laurentides,2011,PROPRIETAIRE_DIRECT,2026-07-02,,,,12,208,false,Condo moderne avec aire ouverte et grandes fenetres
P0056,LOCATION,MAISON,2820,2194,4,3.0,Quebec,Limoilou - Rue Sainte-Catherine,1995,COURTIER,2026-06-16,6096,1,true,,,,Cottage renove avec cuisine moderne et sous-sol fini
P0057,LOCATION,CONDO,1530,890,1,1.0,Laval,Chomedey - Avenue des Perron,2008,PROPRIETAIRE_DIRECT,2026-07-30,,,,5,0,true,Condo lumineux a distance de marche du metro
P0058,LOCATION,MAISON,3280,2932,5,1.0,Sherbrooke,Fleurimont - Rue Wellington,1969,PROPRIETAIRE_DIRECT,2026-05-12,7014,1,true,,,,Maison spacieuse dans un secteur tranquille
P0059,VENTE,CONDO,251000,652,1,1.5,Longueuil,Greenfield Park - Boulevard Taschereau,1966,COURTIER,2026-07-27,,,,2,340,true,Appartement au coeur du quartier avec transport a proximite
P0060,VENTE,CONDO,681000,1319,1,1.5,Laval,Duvernay - Boulevard Saint-Martin,2018,COURTIER,2026-07-13,,,,7,523,true,Condo lumineux a distance de marche du metro
P0061,VENTE,CONDO,444000,1052,2,1.5,Laval,Chomedey - Boulevard des Laurentides,1976,COURTIER,2026-06-11,,,,2,512,true,Appartement au coeur du quartier avec transport a proximite
P0062,VENTE,CONDO,442000,1322,3,1.0,Sherbrooke,Centre-ville - Rue Wellington,1986,COURTIER,2026-07-22,,,,1,666,true,Unite renovee avec balcon et rangement
P0063,VENTE,CONDO,340000,1004,2,1.0,Sherbrooke,Centre-ville - Boulevard Portland,1998,COURTIER,2026-06-18,,,,7,521,false,Condo lumineux a distance de marche du metro
P0064,LOCATION,CONDO,1230,794,1,1.0,Laval,Chomedey - Boulevard des Laurentides,1977,COURTIER,2026-05-30,,,,11,0,false,Unite renovee avec balcon et rangement
P0065,LOCATION,MAISON,2290,1563,3,1.5,Quebec,Sainte-Foy - Rue Saint-Jean,2016,COURTIER,2026-06-26,3146,2,false,,,,Maison de plain-pied pres des ecoles et des parcs
P0066,LOCATION,MAISON,2400,1597,3,1.5,Sherbrooke,Centre-ville - Rue Wellington,2011,PROPRIETAIRE_DIRECT,2026-07-07,6248,2,false,,,,Propriete lumineuse avec grande salle de sejour
P0067,VENTE,CONDO,763000,1360,2,1.0,Montreal,Le Plateau - Rue Saint-Denis,1992,COURTIER,2026-06-23,,,,5,650,false,Logement pratique et ideal pour un premier achat
P0068,VENTE,CONDO,409000,715,3,1.0,Montreal,Ahuntsic - Boulevard Saint-Laurent,1967,COURTIER,2026-06-11,,,,5,378,false,Unite bien entretenue dans un immeuble recent
P0069,LOCATION,MAISON,2740,1819,5,2.0,Longueuil,Vieux-Longueuil - Chemin de Chambly,1986,COURTIER,2026-06-14,6063,3,true,,,,Propriete lumineuse avec grande salle de sejour
P0070,VENTE,MAISON,958000,2357,3,3.0,Laval,Vimont - Boulevard des Laurentides,1962,COURTIER,2026-06-22,6435,3,false,,,,Belle residence avec foyer au bois et veranda
P0071,LOCATION,CONDO,2010,1331,2,2.0,Quebec,Montcalm - Boulevard Charest,1999,COURTIER,2026-08-31,,,,14,0,true,Appartement au coeur du quartier avec transport a proximite
P0072,LOCATION,MAISON,2250,1538,3,1.5,Laval,Duvernay - Boulevard des Laurentides,1958,PROPRIETAIRE_DIRECT,2026-06-14,4821,3,true,,,,Cottage renove avec cuisine moderne et sous-sol fini
P0073,LOCATION,CONDO,1370,702,3,1.0,Montreal,Villeray - Rue Ontario,1969,PROPRIETAIRE_DIRECT,2026-07-19,,,,2,0,false,Logement pratique et ideal pour un premier achat
P0074,VENTE,MAISON,1275000,2499,3,2.5,Montreal,Villeray - Rue Sainte-Catherine,1963,PROPRIETAIRE_DIRECT,2026-08-20,7579,3,false,,,,Cottage renove avec cuisine moderne et sous-sol fini
P0075,VENTE,MAISON,1043000,1711,4,2.5,Montreal,Le Plateau - Rue Ontario,1985,PROPRIETAIRE_DIRECT,2026-05-07,6297,1,true,,,,Propriete lumineuse avec grande salle de sejour
P0076,LOCATION,CONDO,1820,932,3,1.0,Montreal,Villeray - Rue Sainte-Catherine,1963,PROPRIETAIRE_DIRECT,2026-07-19,,,,3,0,false,Condo moderne avec aire ouverte et grandes fenetres
P0077,VENTE,MAISON,1353000,2839,3,2.0,Longueuil,Vieux-Longueuil - Boulevard Taschereau,1986,COURTIER,2026-08-31,5396,2,true,,,,Maison de plain-pied pres des ecoles et des parcs
P0078,LOCATION,MAISON,2460,1439,5,3.0,Longueuil,Greenfield Park - Boulevard Taschereau,2007,COURTIER,2026-07-09,6317,3,true,,,,Belle residence avec foyer au bois et veranda
P0079,VENTE,MAISON,1420000,2984,4,2.5,Laval,Vimont - Rue Principale,1987,COURTIER,2026-05-13,6902,2,true,,,,Belle residence avec foyer au bois et veranda
P0080,LOCATION,CONDO,1470,592,2,1.0,Montreal,Ahuntsic - Avenue du Parc,1994,COURTIER,2026-06-17,,,,11,0,true,Logement pratique et ideal pour un premier achat
P0081,VENTE,MAISON,1298000,2641,3,2.0,Longueuil,Greenfield Park - Chemin de Chambly,2014,COURTIER,2026-07-08,5686,2,true,,,,Maison spacieuse dans un secteur tranquille
P0082,VENTE,MAISON,1140000,3065,3,2.0,Quebec,Saint-Roch - Avenue Cartier,1987,COURTIER,2026-08-27,7814,1,true,,,,Maison spacieuse dans un secteur tranquille
P0083,VENTE,MAISON,377000,1109,3,1.5,Quebec,Limoilou - Rue Sainte-Catherine,1987,COURTIER,2026-08-03,4819,2,true,,,,Maison spacieuse dans un secteur tranquille
P0084,LOCATION,CONDO,1360,776,2,1.0,Longueuil,Vieux-Longueuil - Boulevard Taschereau,1961,PROPRIETAIRE_DIRECT,2026-08-03,,,,13,0,true,Condo lumineux a distance de marche du metro
P0085,LOCATION,CONDO,780,620,3,1.0,Sherbrooke,Rock Forest - Rue Wellington,1959,PROPRIETAIRE_DIRECT,2026-05-14,,,,11,0,false,Unite bien entretenue dans un immeuble recent
P0086,VENTE,MAISON,1027000,1775,5,2.5,Montreal,Verdun - Rue Ontario,1989,COURTIER,2026-08-24,5081,1,true,,,,Propriete lumineuse avec grande salle de sejour
P0087,LOCATION,CONDO,1570,676,2,2.0,Montreal,Ville-Marie - Avenue du Parc,2010,COURTIER,2026-08-13,,,,5,0,true,Logement pratique et ideal pour un premier achat
P0088,VENTE,MAISON,1043000,2701,3,1.0,Quebec,Saint-Roch - Avenue Cartier,2001,COURTIER,2026-06-08,5594,2,true,,,,Cottage renove avec cuisine moderne et sous-sol fini
P0089,LOCATION,CONDO,2390,1186,2,2.0,Montreal,Ville-Marie - Rue Saint-Denis,1964,COURTIER,2026-05-24,,,,5,0,true,Unite bien entretenue dans un immeuble recent
P0090,VENTE,CONDO,373000,672,2,1.5,Montreal,Villeray - Rue Ontario,1979,COURTIER,2026-05-08,,,,13,366,true,Appartement au coeur du quartier avec transport a proximite
P0091,LOCATION,MAISON,3540,3040,3,2.0,Sherbrooke,Rock Forest - Boulevard Portland,1990,COURTIER,2026-07-05,5046,2,false,,,,Maison de plain-pied pres des ecoles et des parcs
P0092,VENTE,MAISON,615000,1378,4,2.5,Montreal,Villeray - Rue Saint-Denis,1961,PROPRIETAIRE_DIRECT,2026-08-07,3001,2,true,,,,Maison familiale avec cour arriere amenagee
P0093,VENTE,CONDO,729000,1013,3,1.5,Montreal,Ville-Marie - Rue Sainte-Catherine,2018,COURTIER,2026-06-15,,,,10,486,false,Logement pratique et ideal pour un premier achat
P0094,LOCATION,MAISON,3600,1926,5,2.0,Longueuil,Saint-Hubert - Chemin de Chambly,2001,COURTIER,2026-06-26,6032,1,false,,,,Maison familiale avec cour arriere amenagee
P0095,LOCATION,CONDO,1510,963,2,2.0,Laval,Vimont - Boulevard Saint-Martin,1960,COURTIER,2026-06-02,,,,7,0,true,Unite renovee avec balcon et rangement
P0096,VENTE,MAISON,614000,1596,3,3.0,Longueuil,Saint-Hubert - Boulevard Taschereau,1956,COURTIER,2026-08-10,5968,3,false,,,,Cottage renove avec cuisine moderne et sous-sol fini
P0097,VENTE,CONDO,616000,1049,3,1.0,Montreal,Rosemont - Rue Saint-Denis,2010,COURTIER,2026-07-15,,,,10,465,false,Logement pratique et ideal pour un premier achat
P0098,LOCATION,MAISON,2920,1464,3,2.0,Montreal,Ville-Marie - Rue Saint-Denis,1997,COURTIER,2026-07-05,6775,2,false,,,,Cottage renove avec cuisine moderne et sous-sol fini
P0099,LOCATION,CONDO,2000,1190,1,1.0,Laval,Duvernay - Avenue des Perron,1992,COURTIER,2026-05-11,,,,13,0,false,Condo lumineux a distance de marche du metro
P0100,LOCATION,CONDO,800,573,1,1.5,Quebec,Limoilou - Rue Saint-Jean,2008,PROPRIETAIRE_DIRECT,2026-08-25,,,,6,0,true,Unite bien entretenue dans un immeuble recent
P0101,VENTE,CONDO,384000,654,2,2.0,Montreal,Villeray - Avenue Mont-Royal,1991,COURTIER,2026-06-27,,,,3,240,false,Unite bien entretenue dans un immeuble recent
P0102,LOCATION,MAISON,6820,2754,5,1.0,Montreal,Le Plateau - Rue Sainte-Catherine,2002,PROPRIETAIRE_DIRECT,2026-09-01,4429,2,true,,,,Belle residence avec foyer au bois et veranda
P0103,LOCATION,CONDO,1990,934,1,1.0,Montreal,Ville-Marie - Boulevard Saint-Laurent,1968,COURTIER,2026-06-17,,,,1,0,false,Unite renovee avec balcon et rangement
P0104,VENTE,MAISON,1655000,3055,4,3.0,Laval,Duvernay - Boulevard des Laurentides,2019,PROPRIETAIRE_DIRECT,2026-08-20,5806,2,true,,,,Maison familiale avec cour arriere amenagee
P0105,VENTE,MAISON,1567000,3195,3,1.0,Montreal,Le Plateau - Avenue Mont-Royal,1986,COURTIER,2026-07-24,5962,1,false,,,,Maison familiale avec cour arriere amenagee
P0106,VENTE,MAISON,1976000,3117,3,2.0,Montreal,Ahuntsic - Rue Saint-Denis,2010,PROPRIETAIRE_DIRECT,2026-08-10,8260,1,false,,,,Maison familiale avec cour arriere amenagee
P0107,VENTE,CONDO,487000,1274,3,2.0,Laval,Duvernay - Rue Principale,1974,COURTIER,2026-07-20,,,,3,447,true,Unite bien entretenue dans un immeuble recent
P0108,VENTE,CONDO,579000,1339,2,2.0,Longueuil,Greenfield Park - Chemin de Chambly,1962,COURTIER,2026-08-20,,,,14,442,true,Unite bien entretenue dans un immeuble recent
P0109,LOCATION,CONDO,1220,962,2,1.5,Sherbrooke,Rock Forest - Rue King,2006,COURTIER,2026-05-09,,,,14,0,false,Unite renovee avec balcon et rangement
P0110,LOCATION,CONDO,1450,630,2,2.0,Montreal,Villeray - Rue Sainte-Catherine,2021,COURTIER,2026-06-23,,,,8,0,true,Condo lumineux a distance de marche du metro
P0111,LOCATION,MAISON,6870,2720,3,3.0,Montreal,Le Plateau - Avenue Mont-Royal,2007,PROPRIETAIRE_DIRECT,2026-06-20,4280,3,true,,,,Cottage renove avec cuisine moderne et sous-sol fini
P0112,LOCATION,MAISON,3260,2304,3,2.5,Longueuil,Saint-Hubert - Boulevard Taschereau,1958,PROPRIETAIRE_DIRECT,2026-08-04,7069,3,false,,,,Belle residence avec foyer au bois et veranda
P0113,LOCATION,MAISON,5160,2942,3,2.0,Montreal,Verdun - Rue Ontario,1970,COURTIER,2026-08-17,5397,1,true,,,,Maison familiale avec cour arriere amenagee
P0114,VENTE,MAISON,1211000,1897,4,3.0,Montreal,Ville-Marie - Boulevard Saint-Laurent,2010,COURTIER,2026-05-22,6030,3,true,,,,Maison familiale avec cour arriere amenagee
P0115,VENTE,CONDO,370000,659,1,1.0,Montreal,Verdun - Rue Sainte-Catherine,1968,COURTIER,2026-07-19,,,,3,219,false,Condo lumineux a distance de marche du metro
P0116,VENTE,CONDO,201000,689,2,1.0,Sherbrooke,Rock Forest - Rue Wellington,1997,PROPRIETAIRE_DIRECT,2026-07-26,,,,2,241,false,Condo lumineux a distance de marche du metro
P0117,LOCATION,CONDO,2090,926,2,2.0,Montreal,Villeray - Boulevard Saint-Laurent,1961,COURTIER,2026-06-01,,,,2,0,true,Logement pratique et ideal pour un premier achat
P0118,VENTE,CONDO,236000,554,3,1.5,Quebec,Montcalm - Rue Sainte-Catherine,2001,PROPRIETAIRE_DIRECT,2026-08-28,,,,5,196,false,Appartement au coeur du quartier avec transport a proximite
P0119,LOCATION,MAISON,2850,1692,3,2.0,Montreal,Rosemont - Rue Saint-Denis,1958,COURTIER,2026-08-19,3674,1,false,,,,Belle residence avec foyer au bois et veranda
P0120,LOCATION,MAISON,4570,3189,3,2.0,Laval,Chomedey - Rue Principale,1969,PROPRIETAIRE_DIRECT,2026-08-30,7709,1,true,,,,Propriete lumineuse avec grande salle de sejour
P0121,VENTE,MAISON,963000,1856,3,1.5,Montreal,Ahuntsic - Avenue Mont-Royal,1971,COURTIER,2026-05-22,5358,3,false,,,,Cottage renove avec cuisine moderne et sous-sol fini
P0122,LOCATION,MAISON,4890,2348,3,2.0,Laval,Vimont - Avenue des Perron,2001,COURTIER,2026-06-27,4422,2,false,,,,Maison de plain-pied pres des ecoles et des parcs
P0123,LOCATION,CONDO,2030,1108,3,1.5,Montreal,Verdun - Boulevard Saint-Laurent,1975,COURTIER,2026-06-13,,,,14,0,false,Appartement au coeur du quartier avec transport a proximite
P0124,VENTE,CONDO,571000,1157,2,1.5,Montreal,Verdun - Avenue du Parc,1961,PROPRIETAIRE_DIRECT,2026-06-20,,,,10,467,false,Condo lumineux a distance de marche du metro
P0125,VENTE,CONDO,533000,956,2,2.0,Laval,Duvernay - Boulevard Saint-Martin,2020,COURTIER,2026-07-02,,,,7,354,false,Unite bien entretenue dans un immeuble recent
P0126,LOCATION,CONDO,2470,1378,2,2.0,Montreal,Verdun - Rue Ontario,1960,COURTIER,2026-07-23,,,,14,0,false,Unite renovee avec balcon et rangement
P0127,VENTE,CONDO,489000,878,3,1.5,Montreal,Rosemont - Rue Ontario,1998,COURTIER,2026-05-31,,,,9,302,true,Unite bien entretenue dans un immeuble recent
P0128,VENTE,MAISON,1444000,2908,4,3.0,Laval,Duvernay - Boulevard Saint-Martin,2023,COURTIER,2026-06-01,7596,3,false,,,,Maison familiale avec cour arriere amenagee
P0129,VENTE,MAISON,911000,1623,3,1.0,Laval,Sainte-Rose - Boulevard des Laurentides,2020,PROPRIETAIRE_DIRECT,2026-08-30,5653,3,false,,,,Cottage renove avec cuisine moderne et sous-sol fini
P0130,VENTE,CONDO,633000,1198,3,1.0,Montreal,Ville-Marie - Rue Sainte-Catherine,1961,PROPRIETAIRE_DIRECT,2026-07-29,,,,5,487,false,Condo moderne avec aire ouverte et grandes fenetres
P0131,VENTE,MAISON,1798000,3043,4,2.5,Montreal,Rosemont - Rue Sainte-Catherine,2010,COURTIER,2026-08-22,8060,2,false,,,,Cottage renove avec cuisine moderne et sous-sol fini
P0132,LOCATION,CONDO,1950,929,2,1.5,Laval,Sainte-Rose - Rue Principale,2005,COURTIER,2026-08-24,,,,3,0,false,Condo lumineux a distance de marche du metro
P0133,LOCATION,CONDO,2390,1379,2,2.0,Longueuil,Greenfield Park - Rue Saint-Charles,1975,PROPRIETAIRE_DIRECT,2026-08-04,,,,3,0,false,Condo lumineux a distance de marche du metro
P0134,VENTE,CONDO,529000,1395,2,1.5,Longueuil,Vieux-Longueuil - Chemin de Chambly,1958,COURTIER,2026-08-09,,,,7,752,false,Appartement au coeur du quartier avec transport a proximite
P0135,VENTE,MAISON,861000,1989,4,2.0,Laval,Sainte-Rose - Boulevard des Laurentides,2006,PROPRIETAIRE_DIRECT,2026-05-14,4777,1,true,,,,Maison de plain-pied pres des ecoles et des parcs
P0136,LOCATION,MAISON,5990,2782,3,3.0,Montreal,Villeray - Rue Ontario,1991,COURTIER,2026-07-17,7404,1,true,,,,Belle residence avec foyer au bois et veranda
P0137,VENTE,MAISON,1021000,2264,5,1.0,Laval,Chomedey - Rue Principale,1969,COURTIER,2026-08-18,5519,1,false,,,,Maison de plain-pied pres des ecoles et des parcs
P0138,LOCATION,MAISON,4650,3001,5,1.0,Quebec,Montcalm - Rue Sainte-Catherine,1980,PROPRIETAIRE_DIRECT,2026-05-18,4789,1,true,,,,Maison familiale avec cour arriere amenagee
P0139,LOCATION,CONDO,1170,749,2,2.0,Laval,Vimont - Boulevard des Laurentides,1991,COURTIER,2026-08-19,,,,4,0,true,Logement pratique et ideal pour un premier achat
P0140,VENTE,MAISON,530000,1259,5,1.5,Quebec,Saint-Roch - Rue Sainte-Catherine,1992,COURTIER,2026-05-17,4115,1,true,,,,Maison spacieuse dans un secteur tranquille
P0141,VENTE,MAISON,800000,1982,4,3.0,Quebec,Sainte-Foy - Rue Sainte-Catherine,1984,COURTIER,2026-06-21,7143,2,true,,,,Maison de plain-pied pres des ecoles et des parcs
P0142,LOCATION,MAISON,2700,1147,4,3.0,Montreal,Ahuntsic - Rue Sainte-Catherine,2020,COURTIER,2026-06-16,4143,3,false,,,,Maison de plain-pied pres des ecoles et des parcs
